Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
3.0015000000e+02 5.0000000000e+01 -1.3751100806e+02 3.2106632414e-01 5.0250160812e+04 1.8023014394e+01 2.5267028068e+09 1.8149761336e+06 -6.8827735243e+06 1.3870496888e+04 -4.9914290129e+02 2.0414349024e-01 6.8957480377e+04 1.8781787893e+02 2.7142667685e+02 9.7351467629e-02 3.0209309063e-03 2.3809215446e-03 7.7994831349e-03 1.2315697422e-02 3.5782949699e+01 5.0995241208e+01 1.0031232347e+01 3.0237860791e+01 4.7780218412e+01 -1.0809846650e-01 8.3176736310e-01 8.9254499108e+02 1.3137916058e+03
3.2015000000e+02 5.0000000000e+01 -8.0700343153e+01 3.4129939688e-01 5.3381183926e+04 2.0509079863e+01 2.8516539094e+09 2.1932089438e+06 -4.2748723896e+06 1.6692416869e+04 -4.6486505614e+02 2.0797331223e-01 3.7859653326e+04 1.7530951802e+02 2.5550640052e+02 9.8165697878e-02 3.0358097660e-03 2.2776468769e-03 8.9132789829e-03 1.3136889798e-02 3.6587870373e+01 5.1640962421e+01 8.6373647066e+00 3.0856715422e+01 4.3599871514e+01 -3.4147354748e-02 8.8822109844e-01 8.5724048677e+02 1.1554938460e+03
3.4015000000e+02 5.0000000000e+01 -2.4584383109e+01 3.5084915371e-01 5.6708144346e+04 2.2728988272e+01 3.2183966697e+09 2.5825176540e+06 -1.3564110459e+06 1.9419866487e+04 -4.3269200446e+02 2.0311955527e-01 1.0981458090e+04 1.5665760182e+02 2.4051631944e+02 9.6400484739e-02 2.8932463374e-03 2.1327448010e-03 9.6990922614e-03 1.3704168594e-02 3.7488468248e+01 5.1049061344e+01 7.4713116297e+00 3.1467982118e+01 3.8518268934e+01 -2.0725435889e-02 9.4919254240e-01 8.3391466870e+02 1.0285942049e+03
3.6015000000e+02 5.0000000000e+01 2.8576931835e+01 3.6736636882e-01 6.0119048654e+04 2.5643471809e+01 3.6175879497e+09 3.0895619198e+06 1.7627946152e+06 2.2844903435e+04 -4.0407771111e+02 2.0029741027e-01 -1.1194752086e+04 1.4306063094e+02 2.2687042569e+02 9.6770416293e-02 2.8895503790e-03 2.0511127688e-03 1.0998791204e-02 1.4604718284e-02 3.8469762099e+01 5.1548767712e+01 6.9218055195e+00 3.2216086838e+01 3.4991994215e+01 5.5791201962e-02 1.0090314228e+00 8.0077651631e+02 9.0552779148e+02
3.8015000000e+02 5.0000000000e+01 7.9390317486e+01 3.7235836381e-01 6.3564082140e+04 2.7387740481e+01 4.0441429787e+09 3.4885525097e+06 5.0949232574e+06 2.5811508796e+04 -3.7805696217e+02 1.9426439612e-01 -2.9670209238e+04 1.2637884567e+02 2.1457454746e+02 9.2453345066e-02 2.6596856376e-03 1.9222506589e-03 1.1241707274e-02 1.4777045951e-02 3.9516878020e+01 5.0929435548e+01 6.4784993284e+00 3.3044964562e+01 3.1502828412e+01 1.6264618007e-02 1.0712950296e+00 7.9933079958e+02 8.4986614919e+02
4.0015000000e+02 5.0000000000e+01 1.2737321104e+02 3.9087688658e-01 6.7018728508e+04 3.0273187972e+01 4.4960923031e+09 4.0654023517e+06 8.5929870571e+06 2.9975900895e+04 -3.5493588571e+02 1.9320586482e-01 -4.4852703226e+04 1.1595709895e+02 2.0351377091e+02 9.1929685608e-02 2.6540222085e-03 1.8756683201e-03 1.2376115419e-02 1.5517353537e-02 4.0615947596e+01 5.1920789363e+01 6.4889321587e+00 3.3968297468e+01 2.9673154760e+01 9.4140500804e-02 1.1303488084e+00 7.7901294962e+02 7.7739408126e+02
4.2015000000e+02 5.0000000000e+01 1.7404599670e+02 4.0305664030e-01 7.0567026096e+04 3.2675233091e+01 4.9850435276e+09 4.6170289694e+06 1.2344931538e+07 3.3953902966e+04 -3.3379889044e+02 1.9060222768e-01 -5.7737641646e+04 1.0472286014e+02 1.9328055772e+02 8.9496293449e-02 2.5459334581e-03 1.8041223903e-03 1.3041216150e-02 1.5945882308e-02 4.1754597497e+01 5.2362380996e+01 6.5215611531e+00 3.5029802857e+01 2.7566726111e+01 1.1044188081e-01 1.1899637782e+00 7.7008331698e+02 7.2612952215e+02
4.4015000000e+02 5.0000000000e+01 2.1813225486e+02 4.1012036748e-01 7.4051893196e+04 3.4575576052e+01 5.4896602378e+09 5.1329157139e+06 1.6221085006e+07 3.7779711301e+04 -3.1479193684e+02 1.8554585357e-01 -6.8314498095e+04 9.3029502017e+01 1.8418481380e+02 8.5997747830e-02 2.3844704189e-03 1.7209154773e-03 1.3282772333e-02 1.6116229457e-02 4.2922140237e+01 5.2459005183e+01 6.5480883093e+00 3.6048838167e+01 2.5601967992e+01 8.2227777664e-02 1.2485587852e+00 7.7124633810e+02 6.9624293740e+02
4.6015000000e+02 5.0000000000e+01 2.6034703539e+02 4.2118160784e-01 7.7514239025e+04 3.6813636295e+01 6.0152334700e+09 5.7201657535e+06 2.0254961123e+07 4.2032709115e+04 -2.9749438357e+02 1.8311454722e-01 -7.7099943878e+04 8.4335858523e+01 1.7595778959e+02 8.3567176179e-02 2.2798669513e-03 1.6582547277e-03 1.3760152886e-02 1.6413001229e-02 4.4109567143e+01 5.3021293378e+01 6.6621110021e+00 3.7173907214e+01 2.4058205985e+01 8.4396334520e-02 1.3023946041e+00 7.6752083745e+02 6.6284218661e+02
4.8015000000e+02 5.0000000000e+01 3.0111415071e+02 4.2934135530e-01 8.1016271410e+04 3.9043350003e+01 6.5712581491e+09 6.3399993925e+06 2.4475628757e+07 4.6305581813e+04 -2.8193010504e+02 1.7776814306e-01 -8.4550680632e+04 7.6957960584e+01 1.6835178814e+02 8.1132069811e-02 2.1683807343e-03 1.5923752941e-03 1.4191612756e-02 1.6681234092e-02 4.5309424258e+01 5.3434924158e+01 6.7619354678e+00 3.8275961172e+01 2.2449171629e+01 7.3379857865e-02 1.3548095706e+00 7.6440725997e+02 6.3234810758e+02
